artist,id
ALRAHIM WRIGHT III,ed280621-0a1d-483e-abf1-90d99ffd7369
AFROB,3a99c1de-010b-4a93-a566-d5891c51914d
EL‐P,d9241f5b-721a-4e08-a25a-acd83ed878cc
EMICIDA,7b874216-914f-4f77-b5c4-70f6ff8052ad
EMINEM,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
J DILLA,cbcbb22c-3a8d-46af-b4ba-09c98f0d7931
JAY DEE,439591a7-045d-4f90-86e0-40100506bafd
JIN,7314b02b-4264-4c81-b79d-9e5a702e6270
JOE FLIZZOW,16cd4cda-63ad-4ad7-8ace-c302d6dec2de
K‐OS,3dfb71a2-2e06-4a69-8839-3e1fc07e92ea
LMF,837139a7-d72d-42ac-8609-a0ed1a1f96a2
MANILLIO,0c921431-ad76-4577-bf99-78403d12f6b0
PEDRO FERNANDO,5237eccf-4f58-4ee2-b9ef-b5a02a5eb454
PEZET,0dcb2b7e-8e3a-41ad-a662-811d5902189d
PLAN B,daf84e36-f78e-4c94-a032-6aed138c0d34
RUN THE JEWELS,a80c5dc5-b12e-4667-9f5a-b568961f3839
SIR MIX‐A‐LOT,05539fb8-b7a5-4012-97a9-5e27ddc031fb
TALLMUTE,767d2ec0-378e-410b-8251-21613094c73e
THE ALCHEMIST,03f3deb7-0419-4bf9-a1e7-511946385717
X-ECUTIONERS,9bb0ae46-c22c-499f-915f-9b4fc8d4f767
?UESTLOVE,9436fbf8-5498-43e9-9a8d-eccbe53df6ad
2 KRÜPPEL,3a47b20d-b0e8-4841-84f6-2d94d3adf193
2KRUNCHY,3c9db5e0-530e-4ccf-bc99-cbfa72a7b0dc
2PAC,382f1005-e9ab-4684-afd4-0bdae4ee37f2
3KI STIL,4bcd039b-72a5-4b73-ad5d-dbb5eebfb626
5FORTY2,92beecdc-e876-4124-bf79-637591e5357e
7 ARM'D LABYRINTH,bddb4d23-3a64-46ac-999e-8bffb612e44f
8 BIT,1046770f-efdb-46a6-805d-459e3660a430
28 DAYS,690c818f-a578-4e04-834a-a94dac6e3759
A.J. SHINE,271b9ab1-a18f-475f-b02c-ec7442f5aa08
A.M. SNIPER,f9ef0a51-f112-44a1-9848-bbca44b78a67
ABRADAB,0c87c7fd-8b2e-4da3-a322-e40f2be9e96d
ABS,32c7dc12-c72a-4d75-9880-99cadb57c250
ACTIVE MEMBER,a2d529dd-5b82-43a6-8931-bd77dcee0dd2
AFRO KOLEKTYW,fd85cfd1-597b-49c6-962e-ea8350b0466d
AHLI FIQIR,d056380a-915a-4395-a12d-11eac97290ea
AKETO,8602d379-ba9d-4814-a4f7-7455bcad6d48
AKIL,8b6d2740-f901-49ac-9fbb-c99edbdc4048
AKTIVIST,48eebc1c-75fc-449f-a303-d372f093bd2b
ALFIE,83b6e1c9-078c-4fcd-bf9c-0de04306388a
ALI BAZRCAR,d8a84ce4-721f-4d8d-b7ca-de227d5189f9
ALI BLA BLA,415aa9bf-bc6c-40d1-826f-6441866c29fb
ALYSSA MARIE,7a78513c-e56d-41af-b445-eb060f013613
ANA TIJOUX,3ac6b6fc-05e9-456f-a7d8-6ddf69756d3f
ANDREW BLU,bdc23266-05f3-410a-9233-aeb16ce1a8cb
ANDREYSALO,716a6d1e-4b3e-4f34-a700-65ea609b1419
AOH FAMILY,7fadf6b9-627a-4da7-ba6d-189443cfd64b
AP.9,41dccab1-1e3b-4d18-b51c-57fa58342f89
APE CULT,52c1dffb-4c6e-44d2-bcb4-3052bd33f323
APHROE,a3ddb085-5b5c-4a79-a383-164af9d4981a
APOLLO,303ca0d0-ff46-4e30-8b28-642a5406ee88
ARABIAN KNIGHTZ,95229c86-b746-4c72-9606-521eeb299ba8
ARABYRD,28cda33e-5f23-4a82-9cff-7a7577d5de4b
ARIZ,3acff525-ebb7-46f3-bff2-e0b16dea8b09
ARMANI OF YORK,d9f98e1d-a226-4efd-9fa6-a7894cba8b39
ARTHUR BAKER,6b6c5ce7-7a49-463a-ac9f-ba97c953a77e
ASAVIOUR,f422dcba-c9b4-4a14-ab88-0c05e7ae8a32
ASHLEY WALTERS,83cbe2ac-3da2-42f4-b9fe-77f8eba22c09
ASKURA ALEXANDER SHKURATOV,01e9bb6c-5f1b-4fcb-bfb5-b0be23de66ae
ATHENS400,35bafa95-0e8e-4a8f-ba32-0fa1a516ef6e
ATTITUDE,205d5621-9280-493e-99f6-0ceec3eeae6e
AUTOMATO,2fd46891-f1d1-459d-a42e-1686b0cea51f
AWKWAFINA,f35da7e6-09f1-4dd7-ac7c-bee4c72c3bf5
B.D. FOXMOOR,48f07f59-822e-4168-9575-d3dba1be5128
BABU,92caf313-a918-472d-9feb-50ac01e910d0
BABY BLUE,5f27d00b-9efc-42a6-aff7-e44efdb604a6
BALANCE,a4f77696-d703-4c95-a7c0-350390c84535
BARELY-FREE PARTIAL PRISONERS,b11dea57-fdb7-4853-b2f9-25f290ceae9e
BARRITZ,38127294-dffd-434c-9a9e-e351229f101b
BASMALA,558bcab6-c5bb-4ac0-b1bb-7fc0eddf3c32
BEASTIE BOYS,9beb62b2-88db-4cea-801e-162cd344ee53
BEAT BUTCHA,3d046fe7-7831-41df-b266-acf38c367847
BEAT GRINDERS,645f192a-5c0a-41da-be4c-d8e4ae0fc078
BEERES,a2d79bd7-eae3-40b8-841d-6255f7a0eb96
BËLGA,0e72127e-85ce-49a3-8b8e-0bdc0b0d80af
BELLION BOSS,02aea42e-52c9-49a8-bbff-2822123d7822
BEN BÜDÜ,f4f536b3-d40e-45e9-bad3-c69b78bb7bc1
BEN QUINN,83ae500d-431f-499b-be96-816d385df484
BIG CALO,9a423225-8b1f-4a14-a7cf-ccbc3f31c167
BIG V,2cb97f6d-7024-4562-8777-a5121f0c4ab4
BIGA RANX,1515c76e-333d-43c1-bade-deebcc2028ef
BILDERBUCH,456104db-b21e-46a6-a094-1dd396f4c6a6
BLACK THOUGHT,5f39d33c-a167-4a63-9c44-71d27618b712
BLACK VIOLIN,4961e39f-9e29-428f-8307-c92377aa156d
BLADE,f5b171c9-f6f0-4ee6-bc3f-57d349f92d73
BLAK JACK,ee74db2a-6136-44eb-865a-54dd7a6d3249
BLESS BEATS,64b852f9-fe10-4553-a532-52b0868f4e48
BLISS N ESO,ef57ad48-2ae9-4760-b2ac-492cf7959c48
BLITZ THE AMBASSADOR,290dc7b2-a2f6-4b5b-92c7-f8cf875d057b
BLOCKHEAD,3bd76ebe-c7dc-47bd-a8af-9e46d2a4f782
BLOODY WOODY,9215e2bf-7bc3-45d4-8210-44a84fbb5b10
BLU,bdc23266-05f3-410a-9233-aeb16ce1a8cb
BLUE SCHOLARS,69cd93fd-1c2b-40f5-ae03-7bf4b4213fd3
BOBBY EIGENFELD,f5b6b3d1-6ca5-45a3-b4c1-659a1208c4f4
BOGI95CARITD,dfdf04d1-75f3-40a6-8a5e-381bc8b3d03b
BOHAI,038bf6d0-d487-46ec-9914-2792c660f831
BOOMBOX SAINTS,6fcf6947-fe1b-41b2-89de-7976221f4689
BORN 2 B,ab70336e-1bbe-4a25-bb45-05f0b4d93daf
BRAILLE,0c9bdb05-2656-446a-84ca-36cb9cbf4b78
BRASS KNUCKLE BRASS BAND,eba620bb-aef6-4723-87f2-80e0d6ca619b
BROOKS BUFORD,6f0ca019-44fc-4372-8b83-1c7f09cd24c4
BUTTER BULLETS,93d2f552-1442-4e6e-a7a1-61dc33ff1ff8
BXTH,c8373497-0089-4b36-812c-62eddf57ec95
CAGE,8e0c435a-d7e0-43c4-a99d-808c6a47e1b4
CAGE,8e0c435a-d7e0-43c4-a99d-808c6a47e1b4
CALVIN CRABTREE,43354bf8-6cab-4a90-8e8b-d7782c0b92e6
CANNIBAL OX,38411d0a-5636-46ba-befb-67cca6f4b9c7
CARBON CASCA,493fce3c-1e89-4991-bc4b-6ef1eba757c6
CASEY,1939beed-512a-4dd9-8566-d7a49aedf93a
CAUGHT IN THE CRACK,994bc11c-dcb1-4397-914d-f12fd6dbba96
CB MASS,4032b6fa-4044-4000-a392-05f35c5c7b17
CEELO GREEN,2c69465c-0f76-45ce-90a2-1ed0fdacc997
CELESTAPHONE,9d909509-6814-42a5-98f7-97a535e3aeff
CHANNEL LIVE,87d20af6-c551-4f85-ac2f-7579d2e2f3db
CHARLES ENERO,7fb8691a-19fc-4b87-8e15-4a65ec3cea65
CHEB RUBËN,4be9706b-35a6-48e0-af18-fe2054435639
CHESTER P,4089b37b-293b-4f17-b30e-f822e2f3c24f
CHI QA,7317f751-f78b-4c2e-8358-ecf9afaa3cd8
